iter	Passed	Remaining
0	1	1156
1	1	727
2	1	585
3	2	514
4	2	479
5	2	446
6	3	425
7	3	407
8	3	397
9	3	389
10	4	381
11	4	373
12	4	367
13	5	361
14	5	356
15	5	354
16	6	352
17	6	348
18	6	348
19	7	347
20	7	346
21	7	344
22	8	341
23	8	338
24	8	336
25	8	335
26	9	333
27	9	331
28	9	330
29	10	328
30	10	326
31	10	324
32	11	323
33	11	322
34	11	321
35	11	319
36	12	319
37	12	318
38	12	316
39	13	317
40	13	317
41	13	317
42	14	316
43	14	316
44	14	316
45	15	315
46	15	318
47	16	318
48	16	322
49	17	323
50	17	321
51	17	321
52	17	320
53	18	319
54	18	318
55	18	317
56	19	318
57	19	316
58	19	315
59	20	315
60	20	314
61	20	314
62	21	313
63	21	312
64	21	312
65	22	311
66	22	312
67	22	312
68	23	311
69	23	310
70	23	311
71	24	311
72	24	311
73	24	310
74	25	309
75	25	308
76	25	307
77	25	306
78	26	306
79	26	305
80	26	304
81	27	303
82	27	301
83	27	300
84	27	299
85	28	301
86	28	303
87	29	306
88	29	306
89	30	305
90	30	305
91	30	304
92	31	303
93	31	302
94	31	302
95	31	301
96	32	300
97	32	299
98	32	298
99	33	298
100	33	297
101	33	297
102	34	296
103	34	295
104	34	295
105	34	294
106	35	294
107	35	293
108	35	292
109	36	292
110	36	292
111	36	292
112	37	291
113	37	291
114	37	292
115	38	292
116	38	291
117	38	291
118	39	290
119	39	290
120	39	289
121	40	288
122	40	288
123	40	287
124	41	287
125	41	287
126	41	285
127	41	285
128	42	284
129	42	284
130	42	283
131	43	283
132	43	283
133	43	283
134	44	283
135	44	283
136	45	283
137	45	282
138	45	282
139	45	281
140	46	282
141	46	281
142	46	280
143	47	280
144	47	279
145	47	279
146	48	279
147	48	278
148	48	278
149	49	277
150	49	277
151	49	277
152	49	276
153	50	276
154	50	275
155	50	275
156	51	274
157	51	275
158	51	274
159	52	274
160	52	273
161	52	272
162	53	272
163	53	272
164	53	271
165	54	271
166	54	271
167	54	270
168	54	270
169	55	269
170	55	269
171	55	268
172	56	268
173	56	268
174	56	267
175	57	267
176	57	266
177	57	266
178	58	266
179	58	265
180	58	265
181	59	265
182	59	265
183	59	265
184	60	265
185	60	264
186	60	264
187	61	265
188	61	264
189	61	264
190	62	263
191	62	263
192	62	262
193	63	262
194	63	261
195	63	261
196	64	261
197	64	260
198	64	260
199	65	260
200	65	259
201	65	259
202	65	259
203	66	258
204	66	258
205	67	258
206	67	258
207	67	258
208	68	258
209	68	258
210	68	257
211	69	258
212	69	257
213	70	257
214	70	256
215	70	256
216	70	256
217	71	255
218	71	255
219	71	254
220	72	254
221	72	254
222	72	253
223	73	253
224	73	252
225	73	252
226	74	252
227	74	251
228	74	251
229	74	251
230	75	251
231	75	251
232	76	250
233	76	250
234	76	249
235	77	249
236	77	249
237	77	248
238	77	248
239	78	247
240	78	247
241	78	247
242	79	246
243	79	246
244	79	245
245	80	245
246	80	245
247	80	244
248	81	244
249	81	243
250	81	243
251	81	243
252	82	243
253	82	242
254	82	242
255	83	242
256	83	241
257	83	241
258	84	241
259	84	240
260	84	240
261	85	239
262	85	239
263	85	239
264	86	239
265	86	238
266	86	238
267	87	238
268	87	237
269	87	237
270	88	236
271	88	236
272	88	236
273	89	236
274	89	235
275	89	235
276	90	235
277	90	234
278	91	235
279	91	235
280	91	234
281	92	234
282	92	233
283	92	233
284	92	233
285	93	232
286	93	232
287	93	232
288	94	231
289	94	231
290	94	230
291	95	230
292	95	230
293	95	229
294	96	229
295	96	229
296	96	228
297	97	228
298	97	228
299	98	228
300	98	228
301	98	228
302	99	227
303	99	227
304	99	227
305	100	227
306	100	226
307	100	226
